Item,Qty,Reference(s),Value
1,1,D1,GREEN LED
2,1,D2,ORANGE LED
3,1,D3,RED LED
4,1,J1,GPIOA (TBC)
5,1,J2,GPIOB (TBC)
6,1,J3,GPIOC (TBC)
7,1,J4,PB1
8,1,J5,PB2
9,2,"R1, R3",15k
10,2,"R2, R4",68k
11,2,"R5, R14",22R
12,2,"R6, R15",220R
13,1,R7,47R
14,1,R8,680R
15,1,R9,RED LDR
16,5,"R10, R11, R12, R21, R22",1k
17,2,"R13, R19",100R
18,2,"R16, R20",AMBIENT LDR
19,1,R17,390R
20,1,R18,GREEN LDR
21,2,"RV1, RV2",10k
22,2,"SW1, SW2",SW_Push
23,2,"U1, U2",LM741
24,2,"U3, U4",LM317T
25,2,"U5, U6",LM358
,,,
